Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
7,Anfernee Simons,26,SG,49,0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,
8,Nikola Vučević,35,C,14,1,21.1,3.7,8.9,0.416,0.9,3.1,0.295,2.8,5.8,0.481,0.468,1,1.2,0.824,1.6,5.3,6.9,1.8,0.5,0.6,1,1.9,9.4,
9,Baylor Scheierman,25,SG,74,19,18,1.8,4,0.445,1.1,2.9,0.382,0.7,1.1,0.61,0.584,0.3,0.3,0.864,0.8,2.7,3.5,1.4,0.5,0.1,0.6,1.4,5,
10,Jordan Walsh,21,PF,65,22,17.5,2,3.8,0.52,0.7,1.7,0.389,1.3,2.1,0.628,0.608,0.6,0.8,0.755,1.3,2.7,4,0.7,0.7,0.4,0.5,2,5.3,
11,Josh Minott,23,PF,33,10,15.9,2.1,4.1,0.507,1,2.3,0.442,1.1,1.8,0.593,0.632,0.6,0.8,0.769,1.2,2.4,3.6,1,0.7,0.4,0.6,1.5,5.8,
12,Luka Garza,27,C,67,5,15.9,2.8,4.9,0.583,0.8,1.8,0.441,2.1,3.1,0.663,0.663,1.3,1.6,0.764,2.2,1.7,3.9,0.9,0.4,0.4,0.6,2.3,7.7,
13,Hugo González,19,SF,73,3,14.5,1.5,3.3,0.473,0.5,1.5,0.357,1,1.7,0.575,0.556,0.2,0.4,0.5,0.8,2.5,3.3,0.5,0.5,0.3,0.5,1.6,3.8,
14,Chris Boucher,33,PF,9,0,10.4,0.9,2.8,0.32,0.2,1.7,0.133,0.7,1.1,0.6,0.36,0.3,0.4,0.75,0.2,1.8,2,0.3,0.6,0.8,0.1,1.9,2.3,
15,Ron Harper Jr.,25,SF,27,2,10,1.2,3.1,0.398,0.8,2.4,0.344,0.4,0.7,0.579,0.53,0,0.1,0.5,0.5,1,1.5,0.6,0.2,0.3,0.2,0.7,3.3,
16,Xavier Tillman Sr.,27,C,14,1,7.9,1,2.2,0.452,0.2,1.1,0.2,0.8,1.1,0.688,0.5,0,0,NA,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2,
